eval_index,update,segment,gamma,max_episode_steps,difficulty,peak_territory_frac,self_tiles,opp_tiles,ticks,winner
118,1189,1,0.995,2500,easy,0.3642611194224787,76697.0,133858.0,25002,
119,1199,1,0.995,2500,easy,0.04111018095176766,0.0,378752.0,25002,
120,1209,1,0.995,2500,easy,0.0976886844123124,41194.0,306615.0,4821,OPPONENT
121,1219,1,0.995,2500,easy,0.8019350344874452,621253.0,0.0,4301,AGENT
122,1229,1,0.995,2500,easy,0.1769728924293656,174316.0,365773.0,25002,
123,1239,1,0.995,2500,easy,0.16670870340677751,222154.0,900167.0,11981,OPPONENT
124,1249,1,0.995,2500,easy,0.14524454993581315,158392.0,733054.0,11091,OPPONENT
125,1259,1,0.995,2500,easy,0.001253829165776163,0.0,169288.0,5631,OPPONENT
126,1269,1,0.995,2500,easy,0.0003599955000562493,303.0,680730.0,7761,OPPONENT
127,1279,1,0.995,2500,easy,0.004752398737845322,0.0,419001.0,25002,
128,1289,1,0.995,2500,easy,0.0514115288103909,91619.0,732682.0,9511,OPPONENT
129,1299,1,0.995,2500,easy,0.01267617341189944,19691.0,869622.0,25002,
130,1309,1,0.995,2500,easy,0.3688033026400734,76536.0,623708.0,24091,OPPONENT
131,1319,1,0.995,2500,easy,0.1244361117706295,122239.0,365338.0,25002,
